Employee,Last Name,First Name,Birthday,Address,Phone Number,SSS #,Philhealth #,TIN #,Pag-ibig #,Status,Position,Immediate Supervisor,Basic Salary,Rice Subsidy,Phone Allowance,Clothing Allowance,Gross Semi-monthly Pay, Hourly Rate
10001,Garcia,Manuel III,10/11/1983,"Valero Carpark Building Valero Street 1227, Makati City",966860270,"4445060573","8.2011","442605657000","6.9111","Regular","Chief Executive Officer","N/A",90000.00,1500.00,2000.00,1000.00,45000.00,535.71
10002,Lim,Antonio,6/19/1988,"San Antonio De Padua 2, Block 1 Lot 8 and 2, Dasmarinas, Cavite",171867411,"5220612749","3.3211","683102776000","6.6411","Regular","Chief Operating Officer","Garcia, Manuel III",60000.00,1500.00,2000.00,1000.00,30000.00,357.14
10003,Aquino,Bianca Sofia,8/4/1989,"Rm. 402 4/F Jiao Building Timog Avenue Cor. Quezon Avenue 1100, Quezon City",966889370,"3088704062","1.7711","971711280000","1.7211","Regular","Chief Finance Officer","Garcia, Manuel III",60000.00,1500.00,2000.00,1000.00,30000.00,357.14
10004,Reyes,Isabella,6/16/1994,"460 Solanda Street Intramuros 1000, Manila",786868477,"4025118150","3.4211","876809437000","4.1711","Regular","Chief Marketing Officer","Garcia, Manuel III",60000.00,1500.00,2000.00,1000.00,30000.00,357.14
10005,Hernandez,Eduard,9/23/1989,"National Highway, Gingoog,  Misamis Occidental",088861012,"5055776381","9.5711","031702374000","9.5211","Regular","IT Operations and Systems","Lim, Antonio",52670.00,1500.00,1000.00,1000.00,26335.00,313.51
10006,Villanueva,Andrea Mae,2/14/1988,"17/85 Stracke Via Suite 042, Poblacion, Las Piñas 4783 Dinagat Islands",918621603,"4916320208","3.8211","317674022000","4.4111","Regular","HR Manager","Lim, Antonio",52670.00,1500.00,1000.00,1000.00,26335.00,313.51
10007,San Jose,Brad,3/15/1996,"99 Strosin Hills, Poblacion, Bislig 5340 Tawi-Tawi",797009261,"4024007141","2.3911","672474690000","2.1111","Regular","HR Team Leader","Villanueva, Andrea Mae",42975.00,1500.00,800.00,800.00,21488.00,255.80
10008,Romualdez,Alice,5/14/1992,"12A/33 Upton Isle Apt. 420, Roxas City 1814 Surigao del Norte",983606799,"5544765272","5.4611","888572294000","2.1111","Regular","HR Rank and File","San, Jose Brad",22500.00,1500.00,500.00,500.00,11250.00,133.93
10009,Atienza,Rosie,9/24/1948,"90A Dibbert Terrace Apt. 190, San Lorenzo 6056 Davao del Norte",266036427,"4106446923","7.0911","604997793000","2.6011","Regular","HR Rank and File","San, Jose Brad",22500.00,1500.00,500.00,500.00,11250.00,133.93
10010,Alvaro,Roderick,3/30/1988,"#284 T. Morato corner, Scout Rallos Street, Quezon City",053381386,"6476050544","5.7811","525420419000","7.9911","Regular","Accounting Head","Aquino, Bianca Sofia",52670.00,1500.00,1000.00,1000.00,26335.00,313.51
10011,Salcedo,Anthony,9/14/1993,"93/54 Shanahan Alley Apt. 183, Santo Tomas 1572 Masbate",070766300,"2696476083","1.2611","210805911000","2.1811","Regular","Payroll Manager","Alvaro, Roderick",50825.00,1500.00,1000.00,1000.00,25413.00,302.53
10012,Lopez,Josie,1/14/1987,"49 Springs Apt. 266, Poblacion, Taguig 3200 Occidental Mindoro",478355427,"4485634483","4.3211","218489737000","1.1311","Regular","Payroll Team Leader","Salcedo, Anthony",38475.00,1500.00,800.00,800.00,19238.00,229.02
