username,password,role
admin1,adminpass,admin
itadmin,itpass,it
10001,Garcia11,employee
10002,Lim19,employee
10003,Aquino4,employee
10004,Reyes16,employee
10005,Hernandez23,employee
10006,Villanueva14,employee
10007,SanJose15,employee
10008,Romualdez14,employee
10009,Atienza24,employee
10010,Alvaro30,employee
10011,Salcedo14,employee
10012,Lopez14,employee
10013,Farala11,employee
10014,Martinez11,employee
10015,Romualdez10,employee
10016,Mata21,employee
10017,DeLeon20,employee
10018,SanJose24,employee
10019,Rosario6,employee
10020,Bautista12,employee
10021,Lazaro25,employee
10022,DelosSantos26,employee
10023,Santos31,employee
10024,DelRosario18,employee
10025,Tolentino19,employee
10026,Gutierrez18,employee
10027,Manalaysay28,employee
10028,Villegas12,employee
10029,Ramos20,employee
10030,Maceda14,employee
10031,Aguilar27,employee
10032,Castro9,employee
10033,Martinez16,employee
10034,Santos7,employee
